iter	Passed	Remaining
425	1831	2467
426	1835	2463
427	1839	2458
428	1843	2453
429	1847	2449
430	1851	2444
431	1854	2438
432	1858	2433
433	1863	2429
434	1866	2424
435	1870	2419
436	1873	2414
437	1877	2409
438	1882	2405
439	1885	2400
440	1889	2395
441	1893	2389
442	1897	2386
443	1901	2380
444	1904	2375
445	1908	2370
446	1912	2365
447	1915	2360
448	1919	2355
449	1922	2349
450	1926	2345
451	1930	2340
452	1933	2335
453	1937	2330
454	1940	2324
455	1944	2320
456	1949	2316
457	1953	2311
458	1956	2306
459	1960	2301
460	1964	2296
461	1967	2291
462	1971	2286
463	1975	2282
464	1979	2277
465	1983	2272
466	1986	2267
467	1994	2267
468	1998	2262
469	2001	2257
470	2005	2251
471	2009	2247
472	2013	2243
473	2016	2237
474	2020	2233
475	2025	2229
476	2028	2224
477	2032	2219
478	2035	2214
479	2039	2209
480	2044	2205
481	2047	2200
482	2051	2196
483	2055	2191
484	2059	2186
485	2063	2182
486	2066	2177
487	2070	2172
488	2075	2168
489	2078	2163
490	2082	2159
491	2086	2154
492	2091	2150
493	2095	2145
494	2098	2141
495	2102	2136
496	2107	2133
497	2111	2128
498	2115	2123
499	2119	2119
500	2124	2115
501	2128	2111
502	2131	2106
503	2136	2102
504	2140	2098
505	2145	2094
506	2148	2089
507	2152	2084
508	2156	2080
509	2160	2075
510	2163	2070
511	2167	2065
512	2170	2060
513	2175	2056
514	2178	2051
515	2182	2047
516	2186	2042
517	2190	2038
518	2194	2033
519	2197	2028
520	2201	2024
521	2205	2019
522	2209	2015
523	2213	2010
524	2216	2005
525	2221	2001
526	2225	1997
527	2228	1992
528	2232	1987
529	2237	1984
530	2241	1980
531	2245	1975
532	2248	1970
533	2254	1967
534	2257	1962
535	2261	1957
536	2264	1952
537	2269	1948
538	2272	1943
539	2276	1939
540	2279	1934
541	2285	1930
542	2288	1926
543	2292	1921
544	2295	1916
545	2299	1912
546	2303	1907
547	2306	1902
548	2310	1898
549	2314	1893
550	2318	1889
551	2322	1884
552	2325	1879
553	2330	1875
554	2334	1871
555	2338	1867
556	2342	1862
557	2345	1857
558	2349	1853
559	2353	1849
560	2357	1844
561	2360	1839
562	2364	1835
563	2368	1830
564	2371	1826
565	2375	1821
566	2379	1816
567	2383	1812
568	2387	1808
569	2390	1803
570	2394	1798
571	2398	1794
572	2402	1790
573	2405	1785
574	2409	1780
575	2413	1776
576	2417	1772
577	2421	1767
578	2424	1762
579	2428	1758
580	2432	1754
581	2436	1749
582	2439	1745
583	2443	1740
584	2447	1735
585	2451	1732
586	2455	1727
587	2459	1723
588	2463	1718
589	2467	1714
590	2470	1709
591	2474	1705
592	2477	1700
593	2482	1696
594	2485	1692
595	2489	1687
596	2492	1682
597	2497	1679
598	2501	1674
